"","site_name","latitude","longitude","founder_crop"
"1","Abu Hureyra",35.87,38.4,"lentil"
"2","Abu Hureyra",35.87,38.4,"bitter vetch"
"3","Abu Hureyra",35.87,38.4,"barley"
"4","Abu Hureyra",35.87,38.4,"emmer wheat"
"5","Abu Hureyra",35.87,38.4,"einkorn wheat"
"6","Abu Hureyra",35.87,38.4,"wheat"
"7","Abu Hureyra",35.87,38.4,"flax"
"8","Abu Hureyra",35.87,38.4,"chickpea"
"9","Abu Hureyra",35.87,38.4,"pea"
"10","Ain Ghazal",31.98,35.97,"flax"
"11","Ais Giorkis",34.92,32.56,"barley"
"12","Ais Giorkis",34.92,32.56,"lentil"
"13","Ais Giorkis",34.92,32.56,"pea"
"14","Ais Giorkis",34.92,32.56,"einkorn wheat"
"15","Asikli Höyük",38.37,34.25,"chickpea"
"16","Asikli Höyük",38.37,34.25,"barley"
"17","Asikli Höyük",38.37,34.25,"lentil"
"18","Asikli Höyük",38.37,34.25,"pea"
"19","Asikli Höyük",38.37,34.25,"einkorn wheat"
"20","Asikli Höyük",38.37,34.25,"wheat"
"21","Asikli Höyük",38.37,34.25,"emmer wheat"
"22","Asikli Höyük",38.37,34.25,"bitter vetch"
"23","Atlit-Yam",32.68,34.93,"chickpea"
"24","Atlit-Yam",32.68,34.93,"barley"
"25","Atlit-Yam",32.68,34.93,"lentil"
"26","Atlit-Yam",32.68,34.93,"emmer wheat"
"27","Azraq 31",31.8,36.82,"barley"
"28","Basta",30.22,35.53,"barley"
"29","Basta",30.22,35.53,"lentil"
"30","Basta",30.22,35.53,"pea"
"31","Basta",30.22,35.53,"emmer wheat"
"32","Basta",30.22,35.53,"wheat"
"33","Basta",30.22,35.53,"einkorn wheat"
"34","Basta",30.22,35.53,"bitter vetch"
"35","Beidha",30.33,35.43,"barley"
"36","Beidha",30.33,35.43,"lentil"
"37","Beidha",30.33,35.43,"einkorn wheat"
"38","Beidha",30.33,35.43,"bitter vetch"
"39","Cafer Höyük",38.42,38.75,"barley"
"40","Cafer Höyük",38.42,38.75,"lentil"
"41","Cafer Höyük",38.42,38.75,"flax"
"42","Cafer Höyük",38.42,38.75,"pea"
"43","Cafer Höyük",38.42,38.75,"wheat"
"44","Cafer Höyük",38.42,38.75,"emmer wheat"
"45","Cafer Höyük",38.42,38.75,"einkorn wheat"
"46","Cafer Höyük",38.42,38.75,"bitter vetch"
"47","Can Hasan III",37.26,33.33,"barley"
"48","Can Hasan III",37.26,33.33,"lentil"
"49","Can Hasan III",37.26,33.33,"einkorn wheat"
"50","Can Hasan III",37.26,33.33,"emmer wheat"
"51","Can Hasan III",37.26,33.33,"bitter vetch"
"52","Çatalhöyük",37.65,32.82,"barley"
"53","Çatalhöyük",37.65,32.82,"emmer wheat"
"54","Çatalhöyük",37.65,32.82,"wheat"
"55","Çatalhöyük",37.65,32.82,"einkorn wheat"
"56","Çatalhöyük",37.65,32.82,"bitter vetch"
"57","Çatalhöyük",37.65,32.82,"chickpea"
"58","Çatalhöyük",37.65,32.82,"lentil"
"59","Çatalhöyük",37.65,32.82,"pea"
"60","Çayönü",38.22,39.72,"chickpea"
"61","Çayönü",38.22,39.72,"barley"
"62","Çayönü",38.22,39.72,"lentil"
"63","Çayönü",38.22,39.72,"pea"
"64","Çayönü",38.22,39.72,"einkorn wheat"
"65","Çayönü",38.22,39.72,"wheat"
"66","Çayönü",38.22,39.72,"emmer wheat"
"67","Çayönü",38.22,39.72,"bitter vetch"
"68","Çayönü",38.22,39.72,"flax"
"69","Chogha Bonut",32.22,48.5,"barley"
"70","Chogha Bonut",32.22,48.5,"lentil"
"71","Chogha Bonut",32.22,48.5,"emmer wheat"
"72","Chogha Bonut",32.22,48.5,"einkorn wheat"
"73","Chogha Golan",33.41,46.26,"barley"
"74","Chogha Golan",33.41,46.26,"lentil"
"75","Chogha Golan",33.41,46.26,"wheat"
"76","Chogha Golan",33.41,46.26,"emmer wheat"
"77","Chogha Golan",33.41,46.26,"einkorn wheat"
"78","East Chia Sabz",33.29,47.2,"barley"
"79","East Chia Sabz",33.29,47.2,"lentil"
"80","East Chia Sabz",33.29,47.2,"wheat"
"81","Dhuweila",32.08,37.25,"barley"
"82","Dhuweila",32.08,37.25,"einkorn wheat"
"83","Dja'de",36.67,38.18,"chickpea"
"84","Dja'de",36.67,38.18,"barley"
"85","Dja'de",36.67,38.18,"lentil"
"86","Dja'de",36.67,38.18,"pea"
"87","Dja'de",36.67,38.18,"einkorn wheat"
"88","Dja'de",36.67,38.18,"wheat"
"89","Dja'de",36.67,38.18,"emmer wheat"
"90","Dja'de",36.67,38.18,"bitter vetch"
"91","El-Hemmeh",31.01,35.52,"chickpea"
"92","El-Hemmeh",31.01,35.52,"barley"
"93","El-Hemmeh",31.01,35.52,"lentil"
"94","El-Hemmeh",31.01,35.52,"wheat"
"95","El-Hemmeh",31.01,35.52,"emmer wheat"
"96","El Kowm I",35.22,38.82,"barley"
"97","El Kowm I",35.22,38.82,"lentil"
"98","El Kowm I",35.22,38.82,"emmer wheat"
"99","El Kowm I",35.22,38.82,"pea"
"100","El Kowm II",35.22,38.82,"barley"
"101","El Kowm II",35.22,38.82,"wheat"
"102","El Kowm II",35.22,38.82,"emmer wheat"
"103","Ganj Dareh",34.25,47.5,"barley"
"104","Ganj Dareh",34.25,47.5,"lentil"
"105","Ganj Dareh",34.25,47.5,"pea"
"106","Gesher",32.6,35.55,"barley"
"107","Gilgal I",31.98,35.45,"barley"
"108","Göbekli Tepe",37.22,38.92,"barley"
"109","Göbekli Tepe",37.22,38.92,"lentil"
"110","Göbekli Tepe",37.22,38.92,"einkorn wheat"
"111","Hacilar",37.57,30.07,"chickpea"
"112","Hacilar",37.57,30.07,"barley"
"113","Hacilar",37.57,30.07,"lentil"
"114","Hacilar",37.57,30.07,"pea"
"115","Hacilar",37.57,30.07,"einkorn wheat"
"116","Hacilar",37.57,30.07,"bitter vetch"
"117","Hacilar",37.57,30.07,"emmer wheat"
"118","Halula",36.43,38.18,"barley"
"119","Halula",36.43,38.18,"lentil"
"120","Halula",36.43,38.18,"einkorn wheat"
"121","Halula",36.43,38.18,"wheat"
"122","Halula",36.43,38.18,"emmer wheat"
"123","Hayonim Cave",32.93,35.18,"barley"
