"","source","source_id","source_site_name","site_name","latitude","longitude","phase","phase_description","phase_code","age_start","age_end","taxon_source","n","prop","reference","taxon_detail","taxon","genus","family","category","founder_crop","edibility","grass_type","legume_type"
"1","ORIGINS","16433–16433","Ayn Abu Nukhayla","Ayn Abu Nakhayla",29.84,35.24,"PPNB",NA,"AANU PPNB",9578,9401,"Gypsophila",1,0.5,"HenryEtal03","Gypsophila sp.","Gypsophila spp. (incl. elegans, obionica, pilosa)","Gypsophila","Caryophillaceae","Wild plants",NA,NA,NA,NA
"2","ORIGINS","12007–12249","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Alyssum",6,0.00103986135181975,"MooreEtal2000","Alyssum sp.","Alyssum spp. (incl. damascenus)","Alyssum","Brassicaceae","Wild plants",NA,NA,NA,NA
"3","ORIGINS","12013–12298","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Arenaria serpyllifolia",18,0.00311958405545927,"MooreEtal2000","Arenaria serpyllifolia","Arenaria spp. (incl. serpyllifolia)","Arenaria","Caryophyllaceae","Wild plants",NA,NA,NA,NA
"4","ORIGINS","11956–12352","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Arnebia decumbens",184,0.0318890814558059,"MooreEtal2000","Arnebia decumbens","Arnebia spp. (incl. decumbens, linearifolia)","Arnebia","Boraginaceae","Wild plants",NA,NA,NA,NA
"5","ORIGINS","12018–12353","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Arnebia linearifolia",21,0.00363951473136915,"MooreEtal2000","Arnebia linearifolia","Arnebia spp. (incl. decumbens, linearifolia)","Arnebia","Boraginaceae","Wild plants",NA,NA,NA,NA
"6","ORIGINS","12021–12358","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Asparagus",15,0.00259965337954939,"MooreEtal2000","Asparagus sp.","Asparagus sp.","Asparagus","Asparagaceae","Wild plants",NA,"stems",NA,NA
"7","ORIGINS","11943–12047","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Asphodelus aestivus",12,0.00207972270363951,"MooreEtal2000","Asphodelus aestivus","Asphodelus spp. (incl. aestivus, tenuifolius)","Asphodelus","Asphodelaceae","Wild plants",NA,"rhizomes, stems and leaves,",NA,NA
"8","ORIGINS","11970–12363","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Atriplex",42,0.0072790294627383,"MooreEtal2000","Atriplex sp.","Atriplex spp. (incl. lasiantha, leucoclada, prostrata, rosea)","Atriplex","Chenopodiaceae","Wild plants",NA,NA,NA,NA
"9","ORIGINS","12065–12065","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Avena sterilis",3,0.000519930675909879,"MooreEtal2000","Avena sterilis","Avena spp. (incl. barbata, clauda, fatua, sativa, sterilis, wiestii)","Avena","Poaceae","Grasses",NA,"Edible seed/fruit","Large/medium-seeded",NA
"10","ORIGINS","12266–12266","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Bassia arabica",3,0.000519930675909879,"MooreEtal2000","Bassia arabica","Bassia spp. (incl. muricata, protrata)","Bassia","Amaranthaceae","Wild plants",NA,"Edible seed/fruit",NA,NA
"11","ORIGINS","12254–12254","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Bassia prostrata",3,0.000519930675909879,"MooreEtal2000","Bassia prostrata","Bassia spp. (incl. muricata, protrata)","Bassia","Amaranthaceae","Wild plants",NA,"Edible seed/fruit",NA,NA
"12","ORIGINS","11968–12362","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Brachypodium distachyon",6,0.00103986135181975,"MooreEtal2000","Brachypodium distachyon","Brachypodium distachyon","Brachypodium","Poaceae","Grasses",NA,NA,"Small/medium-seeded",NA
"13","ORIGINS","12067–12077","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Brassica/Sinapis arvensis",22,0.00381282495667244,"MooreEtal2000",NA,"Brassicaceae indet. (edible)",NA,"Brassicaceae","Wild plants",NA,"Edible seed/fruit",NA,NA
"14","ORIGINS","12242–12264","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Brassicaceae",234,0.0405545927209705,"MooreEtal2000",NA,"Brassicaceae indet. (edible)",NA,"Brassicaceae","Wild plants",NA,"Edible seed/fruit",NA,NA
"15","ORIGINS","11965–11965","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Bromus",3,0.000519930675909879,"MooreEtal2000","Bromus sp.","Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)","Bromus","Poaceae","Grasses",NA,NA,"Small/medium-seeded",NA
"16","ORIGINS","11958–12303","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Buglossoides arvensis/incrassata",9,0.00155979202772963,"MooreEtal2000","Buglossoides sp.","Buglossoides spp. (incl. arvensis, tenuiflora)","Buglossoides","Boraginaceae","Wild plants",NA,NA,NA,NA
"17","ORIGINS","11957–12354","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Buglossoides tenuiflora",55,0.0095320623916811,"MooreEtal2000","Buglossoides tenuiflora","Buglossoides spp. (incl. arvensis, tenuiflora)","Buglossoides","Boraginaceae","Wild plants",NA,NA,NA,NA
"18","ORIGINS","12010–12253","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Camphorosma monspeliaca",6,0.00103986135181975,"MooreEtal2000","Camphorosma monspeliaca","Camphorosma spp. (incl. monspeliaca)","Camphorosma","Amaranthaceae","Wild plants",NA,NA,NA,NA
"19","ORIGINS","12243–12243","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Capparis",3,0.000519930675909879,"MooreEtal2000","Capparis sp.","Capparis spp. (incl. spinosa)","Capparis","Capparaceae","Fruits/nuts",NA,"Edible seed/fruit",NA,NA
"20","ORIGINS","12005–12005","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Capsella bursa-pastoris",3,0.000519930675909879,"MooreEtal2000","Capsella bursa-pastoris","Capsella spp. (incl. bursa-pastoris)","Capsella","Brassicaceae","Wild plants",NA,"Edible seed/fruit",NA,NA
"21","ORIGINS","11975–11978","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Celtis tournefortii",15,0.00259965337954939,"MooreEtal2000","Celtis tournefortii","Celtis spp. (incl. australis, tournefortii)","Celtis","Cannabaceae","Wild plants",NA,"Edible seed/fruit",NA,NA
"22","ORIGINS","12310–12310","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Chenopodium",3,0.000519930675909879,"MooreEtal2000","Chenopodium sp.","Chenopodium spp. (incl. album, glaucum, murale, rubrum)","Chenopodium","Chenopodiaceae","Wild plants",NA,NA,NA,NA
"23","ORIGINS","12027–12365","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Citrullus colocynthis",6,0.00103986135181975,"MooreEtal2000","Citrullus colocynthis","Citrullus colocynthis","Citrullus","Cucurbitaceae","Wild plants",NA,"Edible seed/fruit",NA,NA
"24","ORIGINS","12335–12335","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Crithopis deliliana",3,0.000519930675909879,"MooreEtal2000","Crithopsis delileana","Crithopsis delileana","Crithopis","Poaceae","Grasses",NA,NA,"Small/medium-seeded",NA
"25","ORIGINS","12292–12341","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Crypsis",31,0.00537261698440208,"MooreEtal2000","Crypsis sp.","Crypsis spp. (incl. alopecuroides, schoenoides)","Crypsis","Poaceae","Grasses",NA,NA,"Small-seeded",NA
"26","ORIGINS","11967–11967","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Cutandia",3,0.000519930675909879,"MooreEtal2000","Cutandia sp.","Cutandia spp. (incl. dichotoma, memphitica)","Cutandia","Poaceae","Grasses",NA,NA,"Small-seeded",NA
"27","ORIGINS","11953–12262","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Draba",182,0.0315424610051993,"MooreEtal2000","Draba sp.","Draba sp.","Draba","Brassicaceae","Wild plants",NA,NA,NA,NA
"28","ORIGINS","11952–12261","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Euclidium syriacum",9,0.00155979202772963,"MooreEtal2000","Euclidium syriacum","Euclidium spp. (incl. syriacum)","Euclidium","Brassicaceae","Wild plants",NA,NA,NA,NA
"29","ORIGINS","12066–12082","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Glaucium",6,0.00103986135181975,"MooreEtal2000","Glaucium sp.","Glaucium spp. (incl. aleppicum, corniculatum)","Glaucium","Papaveraceae","Wild plants",NA,NA,NA,NA
"30","ORIGINS","12026–12364","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Glycyrrhiza",6,0.00103986135181975,"MooreEtal2000","Glycyrrhiza sp.","Glycyrrhiza spp. (incl. glabra)","Glycyrrhiza","Fabaceae","Pulses",NA,NA,NA,"Small-seeded"
"31","ORIGINS","11954–12348","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Gypsophila elegans",18,0.00311958405545927,"MooreEtal2000","Gypsophila elegans","Gypsophila spp. (incl. elegans, obionica, pilosa)","Gypsophila","Caryophillaceae","Wild plants",NA,NA,NA,NA
"32","ORIGINS","12011–12347","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Gypsophila pilosa",19,0.00329289428076256,"MooreEtal2000","Gypsophila pilosa","Gypsophila spp. (incl. elegans, obionica, pilosa)","Gypsophila","Caryophillaceae","Wild plants",NA,NA,NA,NA
"33","ORIGINS","12273–12273","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Heliotropium",3,0.000519930675909879,"MooreEtal2000","Heliotropium sp.","Heliotropium spp. (incl. europaeum, persicum, rotundifolium, suaveolens)","Heliotropium","Boraginaceae","Wild plants",NA,NA,NA,NA
"34","ORIGINS","12285–12285","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Henrardia pubescens",3,0.000519930675909879,"MooreEtal2000","Henrardia pubescens","Henrardia pubescens","Henrardia","Poaceae","Grasses",NA,NA,"Large/medium-seeded",NA
"35","ORIGINS","11955–12321","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Herniaria",9,0.00155979202772963,"MooreEtal2000","Herniaria sp.","Herniaria sp.","Herniaria","Poaceae","Grasses",NA,NA,"Small-seeded",NA
"36","ORIGINS","11969–12024","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Hordeum murinum",12,0.00207972270363951,"MooreEtal2000","Hordeum murinum","Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)","Hordeum","Poaceae","Grasses",NA,"Edible seed/fruit","Large/medium-seeded",NA
"37","ORIGINS","12286–12336","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Hordeum murinum/bulbosum",15,0.00259965337954939,"MooreEtal2000","Hordeum sp.","Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)","Hordeum","Poaceae","Grasses",NA,"Edible seed/fruit","Large/medium-seeded",NA
"38","ORIGINS","12032–12345","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Juncus",407,0.0705372616984402,"MooreEtal2000","Juncus sp.","Juncus spp. (incl. rigidus)","Juncus","Juncaceae","Wild plants",NA,NA,NA,NA
"39","ORIGINS","12252–12252","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Krascheninnikovia ceratoides",3,0.000519930675909879,"MooreEtal2000","Krascheninnikovia ceratoides","Krascheninnikovia ceratoides","Krascheninnikovia","Amaranthaceae","Wild plants",NA,NA,NA,NA
"40","ORIGINS","11999–12046","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Lens",12,0.00207972270363951,"MooreEtal2000","Lens sp.","Lens spp. (incl. culinaris, orientalis)","Lens","Fabaceae","Pulses","lentil","Edible seed/fruit",NA,"Large/medium-seeded"
"41","ORIGINS","11951–12260","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Lepidium perfoliatum",153,0.0265164644714038,"MooreEtal2000","Lepidium perfoliatum","Lepidium spp. (incl. niloticum, perfoliatum, ruderale, sativum)","Lepidium","Brassicaceae","Wild plants",NA,"Edible seed/fruit",NA,NA
"42","ORIGINS","12258–12263","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Lepidium/Camelina",6,0.00103986135181975,"MooreEtal2000",NA,"Brassicaceae indet. (edible)",NA,"Brassicaceae","Wild plants",NA,"Edible seed/fruit",NA,NA
"43","ORIGINS","11966–11966","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Lolium rigidum",3,0.000519930675909879,"MooreEtal2000","Lolium rigidum","Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)","Lolium","Poaceae","Grasses",NA,NA,"Large/medium-seeded",NA
"44","ORIGINS","12014–12014","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Minuartia rubella",3,0.000519930675909879,"MooreEtal2000","Minuartia rubella","Minuartia spp. (incl. hybrida, rubella)","Minuartia","Caryophillaceae","Wild plants",NA,NA,NA,NA
"45","ORIGINS","12324–12324","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Moltkia coerulea",3,0.000519930675909879,"MooreEtal2000","Moltkia coerulea","Moltkia coerulea","Moltkia","Boraginaceae","Wild plants",NA,NA,NA,NA
"46","ORIGINS","12015–12351","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Onobrychis",20,0.00346620450606585,"MooreEtal2000","Onobrychis sp.","Onobrychis spp. (incl. crista-galli)","Onobrychis","Fabaceae","Pulses",NA,"Edible seed/fruit",NA,"Large/medium-seeded"
